cbsa10,FIPS state,placefp14,county,2010 Tract,State Postal Code,cntyname,placefp,placenm,Place Name 2014,2010 CBSA Name,"Total Pop, 2010 census",cbsa10 to tract alloc factor
12420,48,5000,48453,13.03,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2871,0.002
12420,48,5000,48453,13.04,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3614,0.002
12420,48,5000,48453,13.05,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",5488,0.003
12420,48,5000,48453,13.07,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3512,0.002
12420,48,5000,48453,13.08,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2670,0.002
12420,48,5000,48453,14.01,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2981,0.002
12420,48,5000,48453,14.02,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2499,0.001
12420,48,5000,48453,14.03,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",1490,0.001
12420,48,5000,48453,15.01,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",4787,0.003
12420,48,5000,48453,15.03,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3875,0.002
12420,48,5000,48453,15.04,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3925,0.002
12420,48,5000,48453,15.05,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",4061,0.002
12420,48,5000,48453,16.02,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3301,0.002
12420,48,5000,48453,16.03,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",4405,0.003
