,NAME,metropolitan statistical area/micropolitan statistical area,Total population,White alone,Highschool,GED,"Some college, fewer than 1 years","Some college, 1 ore more years",associates,college grad,Professional degree,Masters,post grad,Place of work total,Work in state,Work in county,Work Out state,Work out county,Income in the past 12 months below poverty,Under 10k,"10 to 14,999","15 to 19,999",20 to 24,25 to 30,"30 to 34,999",35 to 39,40 to 44,44 to 49,50 to 59,60 to 74,75 to 99,100 to 124,125 to 149,150 to 199,200 +,Median HH income,M HH income white,Median HH income black,Median HH income hispanic
707,"Pueblo, CO Metro Area",161519,39380,127216,25845,5566,8864,19141,12392,14864,1059,6684,797,64378,64049,57319,329,6730,31017,5954,4247,4384,4330,3981,4161,3469,2943,2844,5009,6454,6861,3883,1758,1667,943,41286,43348,40104,34013
708,"Pullman, WA Micro Area",46737,39420,39064,3304,611,1238,3462,1876,5766,611,2898,1714,20834,19552,18639,1282,913,12580,2680,1484,1097,1336,1039,798,781,582,805,1040,1212,1756,1073,573,610,533,36631,39373,33750,18287
709,"Punta Gorda, FL Metro Area",165783,39460,150032,39753,7095,11799,21299,12037,17598,2072,7405,829,55161,54296,39077,865,15219,19760,4601,4197,4608,4724,4563,5253,4216,4341,3713,6178,7823,7790,4827,1997,1583,1442,44244,45107,32725,27344
710,"Quincy, IL-MO Micro Area",77253,39500,72008,17463,2329,4875,8144,4427,7059,396,2792,409,36828,33617,31852,3211,1765,10648,2055,2142,1933,1841,1618,2172,1691,1670,1521,2918,3245,3878,1989,810,773,473,45726,46478,25846,60330
711,"Racine, WI Metro Area",194895,39540,157544,33828,6592,10838,21344,12280,20737,1360,8150,974,90154,87344,57611,2810,29733,23768,4014,3550,3602,4216,3954,3617,3402,3355,3261,7495,7995,10440,6855,3746,3174,2507,55584,60923,26552,36852
712,"Raleigh, NC Metro Area",1216711,39580,842151,131921,23453,41176,108371,69374,222129,16216,88846,16661,597524,591198,451421,6326,139777,144376,22467,17670,17665,18660,20017,21979,20249,19747,20194,35798,44569,58992,44274,28334,31076,28434,63363,71526,42245,40219
713,"Rapid City, SD Metro Area",140860,39660,119681,22401,5115,7381,16888,10180,17438,1317,5923,965,71054,69587,57939,1467,11648,16693,3153,2862,2805,2866,3101,3062,3508,2946,2994,5051,6234,7779,4070,2021,1660,1910,51244,52853,41219,40123
714,"Raymondville, TX Micro Area",22002,39700,20856,3557,1251,678,1485,418,864,26,212,20,5326,5275,3246,51,2029,7604,1299,547,460,373,320,292,287,231,223,327,388,292,252,133,73,56,26495,26310,,22447
715,"Reading, PA Metro Area",413965,39740,346412,93629,12873,16184,27284,21680,41967,3108,17258,1854,193572,191391,144707,2181,46684,56855,9295,7731,7855,7982,7382,7769,6787,6970,6494,13031,17265,21137,12913,8013,7265,5423,55936,59459,31141,27558
716,"Red Bluff, CA Micro Area",63152,39780,54591,11347,1716,4015,8552,3410,4105,501,1364,193,22782,22576,15676,206,6900,12313,1554,1849,1716,1732,1588,1767,1451,1065,1126,1926,2219,2512,1391,704,513,591,41001,40919,,43545
717,"Redding, CA Metro Area",178942,39820,155251,27607,4521,11705,28211,14612,15910,2181,5349,954,67613,67293,62873,320,4420,31707,5115,5135,4346,4723,4118,3962,3809,3722,3071,5588,7297,7051,4638,2333,2729,1738,44620,45180,39193,36457
718,"Red Wing, MN Micro Area",46377,39860,44137,9483,1208,2564,5483,3757,5445,371,1509,233,23133,22695,14724,438,7971,5104,1035,869,863,1103,826,1045,908,898,844,1314,2050,2700,1792,1108,858,580,57062,57590,21136,40497
719,"Reno, NV Metro Area",438948,39900,353709,60089,11293,22416,55636,23081,53945,6077,20188,4666,206023,198091,189500,7932,8591,65541,10920,8483,9263,9790,8994,8225,7941,8345,7396,13469,17527,21229,13117,8880,7388,7145,53030,54651,30739,41459
720,"Rexburg, ID Micro Area",50861,39940,48268,4383,881,1729,4698,3398,4866,303,1492,461,20976,20431,14985,545,5446,14498,1746,1015,1094,1147,953,1077,683,718,689,1157,1087,1765,732,429,312,178,37272,37409,23281,29355
721,"Richmond, IN Micro Area",67866,39980,61099,14774,3127,3378,5943,3660,4711,408,2620,328,28037,26133,23107,1904,3026,13732,2675,1996,2196,2117,1805,1819,1406,1511,1227,1873,2792,2733,1423,618,472,505,38494,39232,28188,27270
722,"Richmond, VA Metro Area",1246215,40060,771833,185205,37562,50652,127203,58253,178452,17844,77133,11361,602744,596549,277546,6195,319003,151091,29951,19746,19272,20103,20223,22231,22119,22271,19918,38752,48482,61752,45072,26303,26571,25882,59919,69748,41306,46565
723,"Richmond-Berea, KY Micro Area",102780,40080,95420,15911,4734,4235,9255,3830,9337,775,4985,1124,44577,44190,30815,387,13375,20897,4466,3119,2427,2857,2133,1872,2062,1937,1657,3102,3991,3718,2418,1234,1018,674,40828,41452,20463,28750
724,"Rio Grande City, TX Micro Area",62648,40100,59469,6535,1145,1362,2845,979,2281,30,786,53,20267,19888,15371,379,4517,22663,2551,1954,1791,1544,1035,892,733,662,500,935,1140,1094,612,317,260,125,26172,26318,,25961
725,"Riverside-San Bernardino-Ontario, CA Metro Area",4392801,40140,2786752,623561,83745,207016,486036,213880,349394,33721,138923,21952,1715042,1705311,1192824,9731,512487,777751,81425,68783,68270,70937,65524,65438,61153,61651,55298,105336,137553,169430,113661,68665,69792,50641,55092,57288,46128,49026
726,"Riverton, WY Micro Area",40755,40180,30098,7127,1425,2191,5245,3025,3932,318,1236,280,17810,17284,16698,526,586,5637,769,678,1157,963,791,764,809,627,807,1260,1713,1986,1380,693,554,379,52773,54942,32083,37596
727,"Roanoke, VA Metro Area",312216,40220,255174,55403,11275,15950,32841,19323,38259,4207,14091,2410,145163,143911,69100,1252,74811,42134,8826,7169,7501,7210,7723,6987,5863,7003,5583,11963,13915,16059,9243,5504,4471,3744,50340,52179,33418,34863
728,"Roanoke Rapids, NC Micro Area",74418,40260,29797,16038,2633,3124,6991,4687,4226,281,1657,227,26093,24053,15079,2040,8974,19318,4620,2955,2363,2431,1882,2107,1636,1375,1131,1968,2601,2223,1603,544,333,326,31724,44982,23216,41094
729,"Rochelle, IL Micro Area",52397,40300,49821,10373,1741,3380,5758,3332,4618,366,2029,100,24611,24087,12326,524,11761,5477,1152,955,1043,1155,1089,1127,944,1001,1031,1754,2165,2722,1909,1318,920,446,54849,55420,42070,38979
730,"Rochester, MN Metro Area",211250,40340,188376,32409,3964,9814,20476,16668,30492,5211,11892,2954,110995,109536,88584,1459,20952,18406,3815,3195,3248,3227,4032,3443,3477,3713,3293,6660,9043,12773,8794,4874,4884,4468,64897,65341,30915,47988
731,"Rochester, NY Metro Area",1083156,40380,879923,169560,33436,44357,85742,87582,133382,14313,79180,11405,505199,502885,418026,2314,84859,151008,30706,22177,22550,23903,22738,23150,20921,20055,19197,35393,42687,55688,35997,21010,19211,15076,52483,56941,27141,29862
732,"Rockford, IL Metro Area",344290,40420,275860,63612,13830,20129,34312,18795,31629,2809,13857,1433,153127,146243,114782,6884,31461,53692,10732,6806,7335,7879,6712,6893,7024,6525,6129,11375,14048,17691,9085,5152,4879,3776,49987,52789,25875,40492
733,"Rockingham, NC Micro Area",46046,40460,28875,9299,1895,2096,4490,3032,2721,205,912,102,16715,15932,12040,783,3892,11465,2637,1705,1580,1457,1246,1205,1037,929,879,1298,1520,1424,707,466,195,176,32687,38169,22797,21866
734,"Rock Springs, WY Micro Area",44772,40540,41250,8370,1723,2806,4511,2804,3930,183,1134,339,22483,22157,21644,326,513,5058,679,564,612,720,639,802,567,668,672,1172,1931,2751,1978,1380,1130,414,69022,69333,23535,53175
735,"Rocky Mount, NC Metro Area",150002,40580,72999,29408,5760,6672,15365,9273,11401,765,3671,509,60432,60007,37626,425,22381,31351,5545,4862,4364,3740,4371,3625,2900,3105,2602,4644,5621,5686,2800,1450,1338,1084,39061,49213,30072,30524
736,"Rolla, MO Micro Area",45029,40620,40954,7919,1297,2114,3277,1884,4261,458,2250,757,19162,18937,15839,225,3098,8137,1759,1188,988,938,1061,1054,1007,983,823,1541,1528,1471,934,662,381,354,41618,42626,11517,30286
737,"Rome, GA Metro Area",96169,40660,74398,15277,4356,3996,10007,4623,6844,1472,2969,493,39136,38744,31895,392,6849,19605,3604,2500,2404,2328,2073,2078,1857,1527,1627,2775,3128,3629,2578,1093,962,711,41549,46211,26090,31492
738,"Roseburg, OR Micro Area",107194,40700,99499,20500,4633,8423,16379,7272,7890,538,3450,432,38513,38162,35686,351,2476,20377,3361,3064,3548,2855,2883,2781,2744,2513,1930,3736,4687,5039,2027,1114,820,696,41312,41529,,30586
739,"Roswell, NM Micro Area",65811,40740,52370,8467,2613,2829,7343,3387,4876,299,2037,216,25889,25420,22585,469,2835,14013,2288,1733,1377,1465,1925,1542,1243,1028,1066,1644,2011,2804,1612,865,399,420,40630,42455,30256,34665
740,40760,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
741,"Russellville, AR Micro Area",84665,40780,75097,15469,3571,3869,8271,2442,6667,472,2500,444,35392,34938,26328,454,8610,15827,2499,2559,2019,2459,1901,1961,2104,1565,1491,2607,2527,3168,1680,596,810,386,39071,39680,35760,34945
742,"Ruston, LA Micro Area",47349,40820,25740,5583,1460,1116,3481,1368,5290,397,2733,634,20305,19827,16271,478,3556,14146,2911,1359,1258,1323,944,1017,670,609,535,1107,1444,1401,965,489,635,502,33467,50425,20715,15995
743,"Rutland, VT Micro Area",60530,40860,58674,13249,1573,2378,5789,3707,7832,708,3503,560,29507,28666,25530,841,3136,7276,1610,1567,1662,1531,1366,1407,1229,1248,1253,2163,2987,3355,1840,747,905,589,49372,49478,170195,44464
744,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2221525,40900,1474715,275291,39981,109255,268391,143105,296367,36087,103961,21211,943660,935086,700544,8574,234542,353197,47496,42895,37589,37919,36590,37004,34836,33221,30580,60417,79350,100152,74371,46885,53940,43890,60003,63909,39653,46092
745,"Safford, AZ Micro Area",37407,40940,28820,5463,2034,2047,4719,2043,1845,138,949,77,11489,11414,9401,75,2013,7446,1120,643,642,741,487,533,698,489,642,805,1147,1555,653,394,286,124,45964,47676,,46223
746,"Saginaw, MI Metro Area",196479,40980,147890,39170,6001,10580,21418,12433,17972,1614,6452,692,79083,78669,63597,414,15072,34825,7502,4777,4887,4937,4877,4946,4273,4532,3749,6543,7418,8686,4537,2729,1949,1583,43042,48007,24158,36160
747,"St. Cloud, MN Metro Area",191816,41060,175916,33392,3357,8516,19146,15697,20582,1792,6314,1277,101200,100419,72805,781,27614,25302,4746,3188,3656,3836,3311,3524,3542,3485,3467,6594,8252,10801,6679,3006,2752,2058,55603,56911,22048,34176
748,"St. George, UT Metro Area",148244,41100,136416,19814,2762,8883,18736,9989,15589,1502,6516,1257,56621,54339,53020,2282,1319,21893,2669,2132,2529,2670,3001,2777,2897,2808,2606,4698,5549,6672,3253,1534,1646,1479,50774,51384,27841,35670
749,"St. Joseph, MO-KS Metro Area",127530,41140,114401,27239,6217,7211,13610,5049,10889,776,4057,625,58065,54095,42267,3970,11828,19270,3935,2947,2703,2836,2748,2677,2435,2297,2059,4140,5869,5473,3439,1358,1065,868,47140,48009,32361,36388
750,"St. Louis, MO-IL Metro Area",2801914,41180,2141108,437418,77617,136451,305192,162346,371645,38210,174456,24383,1331071,1228851,790790,102220,438061,359766,77029,50758,54942,56050,53820,56297,53527,51837,46406,91586,111862,141603,94102,56126,57103,51624,55066,61770,31763,45444
751,"St. Marys, GA Micro Area",51445,41220,38663,7780,2129,2951,6211,3070,4173,283,1959,253,23457,19768,17325,3689,2443,6365,1201,941,997,797,935,864,862,1151,1028,1639,2164,2821,1606,653,554,425,52473,58940,38130,63529
752,41260,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
753,"Salem, OH Micro Area",105987,41400,100959,31251,3858,5050,8735,6404,7164,344,2765,236,45341,38874,24063,6467,14811,15730,3326,2322,2844,2921,2581,2322,2511,2435,1944,3582,5059,4866,2456,1278,875,765,44497,44474,24896,37917
754,"Salem, OR Metro Area",400523,41420,331714,54460,15488,23002,46560,21103,39154,3659,15470,2266,166635,165334,120884,1301,44450,70116,10036,7801,7905,7909,7867,8318,7289,7841,6727,12758,15904,18247,10737,5914,4411,2790,49583,51181,36563,40821
755,"Salina, KS Micro Area",61783,41460,54702,11617,2014,3564,7109,2982,6177,566,2384,328,30931,30734,26742,197,3992,9166,1195,1660,1514,1698,1472,1614,1294,1261,1325,2338,2649,3331,1600,670,574,688,48123,48826,33438,32145
756,"Salinas, CA Metro Area",428441,41500,314077,46453,9416,13822,37225,21028,38266,4563,15719,3617,179034,178689,159094,345,19595,69475,6075,5379,5131,6443,5913,6273,6237,5655,6054,10707,13152,16179,10776,7057,7414,6957,58783,59228,59634,48236
757,"Salisbury, MD-DE Metro Area",385983,41540,294589,82302,10733,17109,35318,20227,39477,4398,20216,3145,166063,145571,122671,20492,22900,51495,9344,6535,8156,8468,7848,8344,7481,6928,6262,12616,16032,19105,11967,6806,6234,5204,52908,56476,36141,39210
758,"Salt Lake City, UT Metro Area",1139851,41620,944295,141886,20387,51388,130119,61656,143832,13986,52753,10570,554639,550204,504430,4435,45774,135969,17783,13168,14422,16728,16121,16856,16853,16538,15892,32648,44438,55039,35371,20784,19465,18417,62192,65085,37806,44341
759,"San Angelo, TX Metro Area",116700,41660,100690,17821,4647,5331,12010,5512,10839,905,3815,706,55103,54698,50841,405,3857,16393,2918,2836,2826,2232,2963,2606,2179,2309,1896,3363,5078,5221,2847,1672,1084,1453,46887,48216,28638,38216
760,"San Antonio-New Braunfels, TX Metro Area",2286702,41700,1822750,309532,69270,101286,242567,111037,250943,23587,98557,14261,1032859,1027597,876228,5262,151369,361017,56216,38264,40426,41602,41361,39683,37331,36940,34653,65574,80793,96204,64484,37976,36143,31731,53122,55182,44602,43827
761,"San Diego-Carlsbad, CA Metro Area",3223096,41740,2283618,358342,45901,122035,355591,189239,470339,56309,190165,43493,1504548,1494702,1461502,9846,33200,454876,66035,46226,44270,48188,45470,48605,44188,45741,42554,82806,103886,141431,103409,70131,79791,81426,64309,65480,50227,47896
762,"Sandpoint, ID Micro Area",41066,41760,39225,7923,1522,2737,6474,2480,4346,407,1361,182,15911,14359,12921,1552,1438,6145,1577,1263,1307,921,999,1344,779,842,1075,1332,1551,2001,946,440,462,354,42171,42215,,54464
763,"Sandusky, OH Micro Area",76141,41780,65913,19249,2038,3325,7962,4635,7233,704,3095,431,34943,34811,24153,132,10658,9333,1973,1809,1848,1641,2025,1847,1770,1951,1656,2539,3448,4143,2236,1176,927,778,48011,50871,28489,43179
764,"Sanford, NC Micro Area",59418,41820,41119,8701,1631,2725,6309,4182,5761,208,1830,200,24891,24751,17456,140,7295,10533,1550,1718,1244,1272,1069,1315,1392,899,978,1879,2292,2718,1196,694,683,307,45608,51879,30547,33104
765,"San Francisco-Oakland-Hayward, CA Metro Area",4528894,41860,2398188,481377,53063,153684,451025,222939,878396,115880,388461,82890,2187353,2178461,1399398,8892,779063,502274,80066,70937,57035,60584,52719,54737,52704,53736,49215,100282,141103,193289,169082,122903,162670,239159,81552,90577,43576,58145
766,"San Germán, PR Metro Area",133534,41900,104610,23635,1986,1157,8438,7786,14982,416,3104,1180,31223,31212,14435,11,16777,68613,15938,6476,4558,4163,2416,2254,1730,1423,1153,1773,1335,831,368,331,192,96,15107,15255,21231,15101
767,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1925706,41940,951058,178494,22754,56657,164973,93645,335703,34586,200972,43841,918011,914771,786405,3240,128366,181892,23453,20176,18047,19040,18915,19570,17272,18882,17945,34534,50323,73819,67445,50698,74237,114305,95405,93329,64839,61014
768,"San Juan-Carolina-Caguas, PR Metro Area",2263582,41980,1534781,352869,43758,27863,173440,152516,283000,24176,79633,14352,701540,700497,303573,1043,396924,933394,206433,86826,80048,62974,52822,46550,38202,32628,26916,42421,42779,34801,17078,8280,8406,7078,21802,22722,20023,21740
769,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",276517,42020,235058,31017,4990,13600,36582,17460,38026,4339,14550,3332,124241,123621,110495,620,13126,38630,6679,5208,4137,4928,4400,4695,4282,4997,3999,7878,9815,14081,9930,6340,6387,5820,60691,61694,63224,48178
770,"Santa Cruz-Watsonville, CA Metro Area",269278,42100,216891,23296,3637,9030,30375,16020,40356,4860,17045,4247,128145,127563,99105,582,28458,39053,5839,3796,3745,4424,3526,3877,4012,3769,3400,6563,9091,11462,9017,5907,7692,8682,67256,69441,63977,48648
771,"Santa Fe, NM Metro Area",147108,42140,122459,18873,3949,4603,16879,6411,21830,3848,13464,3719,69609,68977,58308,632,10669,22477,4301,2962,3159,3338,3028,3253,2474,3001,2747,5177,6038,7201,4884,2998,2995,3623,54315,56387,47440,43876
772,"Santa Isabel, PR Micro Area",22913,42180,13663,4420,138,197,1391,1274,2518,107,814,77,6693,6693,2868,0,3825,11470,2715,1045,778,521,288,455,340,238,197,449,215,323,105,28,30,0,15674,17291,13559,15674
773,"Santa Maria-Santa Barbara, CA Metro Area",435850,42200,323766,41162,6327,15812,42539,21308,51447,7195,21555,6027,199985,199426,186689,559,12737,68017,7285,6485,6670,5891,6870,6944,6099,5813,5117,10086,14002,18134,12997,9011,10122,11187,63985,66814,51695,49516
774,"Santa Rosa, CA Metro Area",495078,42220,382484,60258,8621,26016,60922,31985,73923,9668,25770,4499,235017,234070,197589,947,36481,57179,7825,7943,7966,8733,7837,7688,8448,7637,7989,15473,18807,25119,18030,11888,13505,12894,64240,66800,60091,51334
775,"Sault Ste. Marie, MI Micro Area",38586,42300,27614,7318,2609,2474,4001,1965,3102,272,1333,317,14667,14473,13667,194,806,6485,1192,1031,1164,997,792,797,729,693,754,1310,1390,1734,734,242,281,157,41993,43546,,49375
776,"Savannah, GA Metro Area",367071,42340,221091,54447,11374,14782,42490,16408,45321,4302,18996,3357,165798,161102,127511,4696,33591,61216,11253,7231,6851,7759,6810,7064,7126,6204,6148,10884,14523,16050,10446,5912,5563,4961,50618,58985,35462,44154
777,"Sayre, PA Micro Area",62228,42380,60559,18679,2362,2133,4143,3724,5112,425,1963,227,26199,22856,20733,3343,2123,8336,1527,1447,1556,1240,1647,1423,1213,1138,1174,2032,2722,3137,1911,974,579,638,48987,48742,,56111
778,"Scottsbluff, NE Micro Area",38753,42420,36200,6784,1037,2055,4375,2788,3802,341,1253,218,18795,18315,17258,480,1057,5129,1044,817,1013,1121,962,1127,823,713,994,1434,1551,1816,1012,440,423,353,45933,46479,,34588
779,"Scottsboro, AL Micro Area",52860,42460,48087,11772,3047,1658,4489,2988,2876,232,1373,147,20570,17773,13628,2797,4145,9415,2084,1785,1528,1444,1377,1344,1432,1004,874,1589,1963,2081,870,402,343,311,37745,38158,20238,21840
780,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",561701,42540,512885,139928,15686,24997,47143,35754,57090,5002,25377,3405,252999,249911,204268,3088,45643,82299,16805,15880,14957,13884,13464,12478,11099,10851,10220,18405,22769,26672,16215,7999,7416,5506,46298,47312,25141,29118
781,"Searcy, AR Micro Area",78660,42620,71674,15539,3327,3145,6451,3553,5857,465,2703,756,31988,31324,23666,664,7658,14175,2880,2168,2499,1795,1521,1516,1585,1503,1152,2322,2579,3427,2012,884,885,676,42554,43432,24738,23924
782,"Seattle-Tacoma-Bellevue, WA Metro Area",3614361,42660,2595362,433453,82248,169773,394563,228929,618504,61260,250996,42173,1796181,1783188,1474495,12993,308693,403263,76138,46487,47834,52354,50731,56994,52581,58047,53946,102857,141862,191067,146546,97749,110020,112790,70475,73248,42601,50124
783,"Sebastian-Vero Beach, FL Metro Area",142866,42680,123113,27280,5295,8725,14648,10209,17605,2377,7636,1244,52058,51168,42648,890,8520,20272,3486,3222,4246,4259,3790,3507,3180,2809,2616,4664,5246,5837,3938,2183,1653,3189,45798,47439,26746,35382
784,"Sebring, FL Metro Area",98328,42700,81651,22932,4094,6016,9939,6046,7951,736,3125,590,30668,30408,26971,260,3437,18863,3817,2865,3685,3034,3365,3377,2741,2524,1425,3696,3414,3064,1485,725,638,542,35093,36108,26045,26814
785,"Sedalia, MO Micro Area",42215,42740,38154,7880,1077,2242,4266,2724,3205,325,1129,217,18620,18443,15786,177,2657,7484,1212,1169,1156,1343,1138,984,1076,864,798,1534,1671,1354,902,465,269,196,39928,40686,40724,29663
786,"Selinsgrove, PA Micro Area",40046,42780,38769,10826,1347,952,2255,2076,2653,324,1123,261,18846,18639,11846,207,6793,4077,719,678,698,1107,672,886,943,763,766,1465,1773,1930,914,433,301,394,49917,50203,,31563
787,"Selma, AL Micro Area",42154,42820,12085,8250,1260,1689,4171,2220,2240,284,1192,132,13577,13375,10943,202,2432,14580,3364,1500,1545,1315,1021,959,609,730,766,825,1034,1152,701,320,248,324,27306,51431,20462,
788,"Seneca, SC Micro Area",74949,42860,66116,13480,3538,3252,7181,4896,7361,532,3493,829,28187,26962,20317,1225,6645,14897,2453,2306,2056,2335,2157,2002,1638,1425,1155,2454,3409,3043,1536,814,843,930,41237,42444,32692,30482
789,"Seneca Falls, NY Micro Area",35144,42900,32358,6774,1857,1765,2696,3126,2971,186,1698,188,15119,14953,8368,166,6585,4081,864,662,941,948,746,655,586,778,713,1078,1425,1874,1063,575,410,243,49292,50237,21329,22685
790,"Sevierville, TN Micro Area",93617,42940,88485,19968,4650,4422,9435,4881,6841,691,2832,440,43655,43238,33240,417,9998,14128,2394,2672,2567,2314,2683,2408,2065,2349,1468,3787,3742,3789,2259,765,687,768,42258,42542,41320,32952
791,"Seymour, IN Micro Area",43471,42980,40246,12036,2094,1916,2981,2266,2879,185,1260,85,19651,19460,14508,191,4952,6297,968,1129,959,1002,1157,834,1057,833,838,1601,1857,2238,1188,446,353,154,47000,47824,,28243
792,"Shawano, WI Micro Area",46014,43020,37653,13098,1351,2097,4196,3145,3332,270,1231,134,21411,21330,12788,81,8542,5986,1139,1078,1002,1198,1217,1067,1126,1006,822,1797,2164,2317,1081,491,428,283,46677,48527,11250,29205
793,"Shawnee, OK Micro Area",71136,43060,54205,13576,2917,4061,8215,3228,5875,386,1829,292,29013,28800,19763,213,9037,12288,2201,1685,1643,1782,1476,1627,1289,1395,1210,2533,2784,2751,1548,754,740,578,44688,46860,25403,34337
794,"Sheboygan, WI Metro Area",115226,43100,103922,25848,3345,5801,10854,7929,12805,848,4449,492,58080,57926,49195,154,8731,10348,2049,2129,2492,2738,2408,2561,2392,2423,2179,4782,5894,6222,3973,1819,1705,935,53713,53853,27042,44219
795,"Shelby, NC Micro Area",97178,43140,73670,20031,2804,3981,9746,7225,6456,514,2950,643,39765,37345,26688,2420,10657,19156,3961,3143,2903,2521,2367,2267,1771,2153,1791,3259,3470,3717,1955,839,783,553,39453,43965,24832,40729
796,"Shelbyville, TN Micro Area",45986,43180,38518,9468,2880,2257,3447,1538,2842,232,879,155,19487,19365,12600,122,6765,7727,1378,930,1252,1553,978,933,915,973,984,1467,1793,1583,1010,462,276,234,41984,44287,29068,26859
797,"Shelton, WA Micro Area",60791,43220,51601,10633,2820,4546,8867,4052,5262,366,2023,199,21889,21800,12626,89,9174,10166,1399,1345,1785,1203,1241,1218,935,1227,1057,2222,2615,2982,1551,1100,666,480,50406,51429,,26328
798,"Sheridan, WY Micro Area",29738,43260,27856,4653,1022,1760,4051,2110,4037,367,1397,327,14077,13314,13011,763,303,2381,518,844,589,693,546,682,713,699,431,1044,1469,1807,1061,639,518,325,55455,56134,,48021
799,"Sherman-Denison, TX Metro Area",122780,43300,106650,20850,5450,6581,15065,6998,10704,813,4467,747,53583,51111,39440,2472,11671,19420,3522,2878,2880,2911,2889,2469,2379,2476,1930,3588,4842,6250,3046,1908,1961,1286,47952,50592,23841,40790
800,"Show Low, AZ Micro Area",107656,43320,52106,16782,3010,4466,15067,5481,6035,548,2921,393,31165,30424,28352,741,2072,32141,5295,2547,2379,2309,2312,1920,1482,1678,1438,2823,3445,3023,1492,852,651,483,35921,45641,,33107
801,"Shreveport-Bossier City, LA Metro Area",445727,43340,252502,82945,14672,16199,52601,19117,42732,4570,16847,2508,192539,186561,137234,5978,49327,87441,17919,11457,10456,11603,10085,9568,8548,7969,7127,12248,15710,17951,12415,6414,6184,5471,43551,56223,27761,45939
802,"Sidney, OH Micro Area",49067,43380,46375,12879,1365,2117,4143,3313,3143,194,1786,148,23336,23143,16605,193,6538,4970,761,723,957,993,942,1079,888,1151,1124,1608,2133,2744,1584,766,658,426,54550,55131,25057,29955
803,"Sierra Vista-Douglas, AZ Metro Area",129647,43420,103744,16107,4614,6675,19381,9679,12855,870,5859,669,47459,46915,45049,544,1866,21102,4643,3349,3107,2644,3084,2892,2238,2422,2068,4131,4564,5512,3245,1960,1626,1340,45075,46090,66734,35446
804,"Sikeston, MO Micro Area",39061,43460,33574,9636,1446,1952,3597,1398,2253,268,886,84,16964,16822,10512,142,6310,7492,1317,1496,1061,875,1100,1038,899,968,782,1268,1209,1625,756,400,249,204,39162,41102,28083,28250
805,"Silver City, NM Micro Area",29119,43500,25942,4581,933,1147,3981,1362,2625,213,2046,498,10359,10258,9916,101,342,5940,1324,764,1004,996,730,699,822,700,512,627,1241,1241,522,371,294,185,38311,38832,,31556
806,"Sioux City, IA-NE-SD Metro Area",168889,43580,145282,31919,5356,7814,15985,9733,15335,1361,5128,677,83892,65808,56899,18084,8909,21458,4135,3507,3505,3593,3812,3715,3184,3314,2869,5839,7360,8492,4886,2188,2040,1746,50650,52106,25054,40303
807,"Sioux Falls, SD Metro Area",242731,43620,216142,38651,5952,9727,23601,18371,34534,2838,10536,1551,131815,129068,99132,2747,29936,23964,4639,3827,3434,4666,5230,5099,4959,4698,4247,7627,11099,14401,8691,4150,3757,3426,57889,60478,30093,48096
808,"Snyder, TX Micro Area",17238,43660,14988,2480,952,1344,1868,724,1129,40,454,90,7324,7324,6622,0,702,1527,203,284,310,292,284,354,281,320,236,520,576,897,466,293,355,161,56842,57184,90341,47207
809,"Somerset, KY Micro Area",63635,43700,61256,13801,4476,2788,4926,3520,3820,476,1855,246,25197,24913,22605,284,2308,16497,4306,1943,2116,1545,1359,1580,1276,1390,1213,2027,1992,2256,1272,535,379,404,34790,34838,27907,18510
810,"Somerset, PA Micro Area",76617,43740,73304,24966,2974,2966,4843,4588,5613,538,2192,340,32497,30588,22081,1909,8507,9074,1931,2021,1745,2075,2039,1879,1647,1576,1515,2647,3122,3620,1828,904,548,522,44587,44718,,37083
811,"Sonora, CA Micro Area",54079,43760,47620,9939,2180,4106,8539,3775,5611,538,1899,300,18873,18783,16118,90,2665,7010,1314,1368,1299,1055,1492,1328,1215,879,1044,2304,2191,2628,1563,857,822,774,50306,50883,30972,48225
812,"South Bend-Mishawaka, IN-MI Metro Area",319198,43780,258385,57045,9961,15456,30354,16855,33422,3019,14636,3386,142762,129143,105501,13619,23642,53108,9239,6916,8008,7882,7048,8068,6779,6354,5966,10172,12605,13723,8448,3862,3452,3584,45650,49660,23680,36605
813,"Spartanburg, SC Metro Area",319365,43900,231276,53240,11739,14213,30379,20307,29649,2399,12526,1679,135733,133098,104353,2635,28745,55270,10428,8571,8453,8045,7177,7282,6856,6478,5267,10169,11901,13463,7715,4339,3071,2343,42834,48098,28400,40388
